sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
MM,MARA,OVERHANG_TRESH,Overhang Threshold [%],/SAPAPO/OVERHANG_TRESH,DEC03_2,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,BRIDGE_TRESH,Bridge Threshold [%],/SAPAPO/BRIDGE_TRESH,DEC03_2,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,BRIDGE_MAX_SLOPE,Maximum Slope for Bridges [°],/SAPAPO/BRIDGE_MAX_SLOPE,DEC03_2,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,HEIGHT_NONFLAT,Absolute Height Threshold for Stacking on Non-Flat Surface,/SAPAPO/HEIGHT_NONFLAT,MENG13,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,HEIGHT_NONFLAT_UOM,UoM of Abs. Height Threshold (Stacking on Non-Flat Surface),/SAPAPO/HEIGHT_NONFLAT_UOM,MEINS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SCM_KITCOMP,Product for Kit-to-Order,/SAPAPO/CMPKIT,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SCM_PROD_PAOOPT,Product can be used for Procure-to-Order,/SAPAPO/PAOOPT,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SCM_BOD_DEPLVL,Carry Out Push Deployment from Supplier,/SAPAPO/BODDEPLVL,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SCM_RESTRICT_INVBAL,Inventory Balancing Not Allowed,/SAPAPO/RESTRICT_INVBAL,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,SCM_DRP_GL_STOCK,Global Stock on Entry Location DRP,/SAPAPO/DRP_GL_STOCK,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,inventory_location.id,0.60,inventory_location.id:0.60 | location.id:0.50 | storage_location.id:0.50,stock location,0.55,stock location:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,SCM_EXCL_EXPEDITE,Exclude from Express Shipment,/SAPAPO/EXCLEXP,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,NEWPROD_INDI,New Product,/SAPAPO/NEWPROD_INDI,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,PRD_STARTDT,Production Start Date,/SAPAPO/PRD_STARTDT,DATS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",production_order.planned_start_date,production_order.planned_start_date,production_order.planned_start_date,1.00,production_order.planned_start_date:1.00 | employee.position:0.60 | inventory_lot.manufacture_date:0.60,production_order.planned_start_date,1.00,production_order.planned_start_date:1.00 | absence start date:0.55 | address valid from:0.55,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,PRD_ENDDT,Production End Date,/SAPAPO/PRD_ENDDT,DATS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,employee.position,0.60,employee.position:0.60 | inventory_lot.manufacture_date:0.60 | absence.end_date:0.50,absence end date,0.55,absence end date:0.55 | address valid to:0.55 | contract end:0.55,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,INV_PLN_MODE,eSPP: Inventory Planning via External Tool,ESPP_INV_PLN_MODE,ESPP_INV_PLN_MODE,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,FLAGCLASS,Configuration Relevance of Product,/SAPAPO/FLGCLASS,/SAPAPO/FLGCLASS,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
