sap_module,sap_table,sap_field,sap_description,classification_bucket,description_canonical_concept_id,top_canonical_concept_id,top_canonical_matches,top_knowledge_matches,review_reason
SD,VBKD,MSCHL,Dunning Key,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | absence.start_date:0.50,activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,VBKD,MANSP,Dunning Block,unmapped,,,,,unmapped
SD,VBKD,FPLNR,Billing Plan Number / Invoicing Plan Number,unmapped,,,,,unmapped
SD,VBKD,WAKTION,Retail Promotion,unmapped,,,,,unmapped
SD,VBKD,ABSSC,Payment Guarantee Procedure,unmapped,,,,,unmapped
SD,VBKD,LCNUM,Financial doc. processing: Internal financial doc. number,unmapped,,,,,unmapped
SD,VBKD,J_1AFITP,Tax Type,unmapped,,,,,unmapped
SD,VBKD,J_1ARFZ,Reason for Zero VAT,unmapped,,,,,unmapped
SD,VBKD,J_1AREGIO,"Region (State, Province, County)",weak_canonical_candidate,,address.region,address.region:0.60 | supplier.address:0.50 | supplier.region_code:0.50,state province:0.55,weak_canonical_candidate
SD,VBKD,J_1AGICD,Activity Code for Gross Income Tax,weak_canonical_candidate,,tax.id,tax.id:0.50 | tax.rate:0.50,tax code:0.55,weak_canonical_candidate
SD,VBKD,J_1ADTYP,Distribution Type for Employment Tax,weak_canonical_candidate,,employee.employee_type,employee.employee_type:0.60,contract type:0.55 | employment type:0.55,weak_canonical_candidate
SD,VBKD,J_1ATXREL,Tax relevant classification,unmapped,,,,,unmapped
SD,VBKD,ABTNR,Department number,unmapped,,,,,unmapped
SD,VBKD,EMPST,Receiving Point,unmapped,,,,,unmapped
SD,VBKD,BSTKD,Customer Reference,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | customer.id:0.60,account owner:0.55 | activity id:0.55 | approver:0.55,weak_canonical_candidate
SD,VBKD,BSTDK,Customer Reference Date,weak_canonical_candidate,,absence.start_date,absence.start_date:0.60 | activity id:0.60 | company.id:0.60,order date:1.00 | absence.start_date:0.55 | account owner:0.55,weak_canonical_candidate
SD,VBKD,BSARK,Customer Purchase Order Type,weak_canonical_candidate,,account.type,account.type:0.60 | purchase_order.document_type:0.60 | sales_order.document_type:0.50,customer type:0.55 | sales order type:0.55,weak_canonical_candidate
SD,VBKD,IHREZ,Your Reference,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | absence.start_date:0.50,activity id:0.55 | company.id:0.55,weak_canonical_candidate
SD,VBKD,BSTKD_E,Ship-to Party's Customer Reference,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | customer.id:0.60,account owner:0.55 | activity id:0.55 | approver:0.55,weak_canonical_candidate
SD,VBKD,BSTDK_E,Ship-to Party's Customer Reference Date,weak_canonical_candidate,,absence.start_date,absence.start_date:0.60 | activity id:0.60 | company.id:0.60,absence.start_date:0.55 | account owner:0.55 | activity id:0.55,weak_canonical_candidate
SD,VBKD,BSARK_E,Ship-to Party Purchase Order Type,weak_canonical_candidate,,purchase_order.document_type,purchase_order.document_type:0.60 | customer.id:0.50 | sales_order.document_type:0.50,sales order type:0.55 | ship to party:0.55,weak_canonical_candidate
SD,VBKD,IHREZ_E,Ship-to Party Character,weak_canonical_candidate,,customer.id,customer.id:0.50,ship to party:0.55,weak_canonical_candidate
SD,VBKD,POSEX_E,Item Number of the Underlying Purchase Order,weak_canonical_candidate,,material.number,material.number:0.60 | purchase_order.id:0.60 | address.city:0.50,purchase order number:0.55,weak_canonical_candidate
SD,VBKD,KURSK_DAT,Translation Date,unmapped,,,,,unmapped
SD,VBKD,KURRF_DAT,Translation Date,unmapped,,,,,unmapped
SD,VBKD,KDKG1,Customer condition group 1,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | purchasing_group.id:0.60 | customer.classification:0.50,customer group:0.55,weak_canonical_candidate
SD,VBKD,KDKG2,Customer condition group 2,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | purchasing_group.id:0.60 | customer.classification:0.50,customer group:0.55,weak_canonical_candidate
SD,VBKD,KDKG3,Customer condition group 3,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | purchasing_group.id:0.60 | customer.classification:0.50,customer group:0.55,weak_canonical_candidate
SD,VBKD,KDKG4,Customer condition group 4,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | purchasing_group.id:0.60 | customer.classification:0.50,customer group:0.55,weak_canonical_candidate
SD,VBKD,KDKG5,Customer condition group 5,weak_canonical_candidate,,customer_group.id,customer_group.id:0.60 | purchasing_group.id:0.60 | customer.classification:0.50,customer group:0.55,weak_canonical_candidate
SD,VBKD,WKWAE,Value contract currency,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60 | purchase_contract.value:0.60 | accounting.document_currency_code:0.50,currency price:0.55 | document currency amount:0.55 | gross amount:0.55,weak_canonical_candidate
SD,VBKD,WKKUR,Exchange rate in value contract currency,weak_canonical_candidate,,exchange_rate.rate,exchange_rate.rate:0.60 | invoice.amount:0.60 | purchase_contract.value:0.60,currency price:0.55 | document currency amount:0.55 | exchange rate:0.55,weak_canonical_candidate
SD,VBKD,AKWAE,Currency key for letter-of-credit procg in foreign trade,weak_canonical_candidate,,activity id,activity id:0.60 | bank_account.currency_code:0.60 | company.id:0.60,activity id:0.55 | company.id:0.55 | compensation.base_salary:0.55,weak_canonical_candidate
SD,VBKD,AKKUR,Exchange rate for letter-of-credit procg in foreign trade,weak_canonical_candidate,,exchange_rate.rate,exchange_rate.rate:0.60,exchange rate:0.55,weak_canonical_candidate
SD,VBKD,AKPRZ,Depreciation percentage for financial document processing,unmapped,,,,,unmapped
SD,VBKD,J_1AINDXP,Inflation Index,unmapped,,,,,unmapped
SD,VBKD,J_1AIDATEP,Indexing base date,unmapped,,,,,unmapped
SD,VBKD,BSTKD_M,Customer Reference as Matchcode Field,weak_canonical_candidate,,accounting.document_number,accounting.document_number:0.60 | activity id:0.60 | company.id:0.60,account owner:0.55 | accounting.document_number:0.55 | activity id:0.55,weak_canonical_candidate
SD,VBKD,DELCO,Agreed Delivery Time,unmapped,,,,,unmapped
SD,VBKD,FFPRF,Dynamic Item Processor Profile,unmapped,,,,,unmapped
SD,VBKD,BEMOT,Accounting Indicator,unmapped,,,,,unmapped
SD,VBKD,FAKTF,Billing form,unmapped,,,,,unmapped
SD,VBKD,RRREL,Revenue recognition category,unmapped,,,,,unmapped
SD,VBKD,ACDATV,Proposed start date for accrual period,weak_canonical_candidate,,absence.start_date,absence.start_date:0.60 | employee.position:0.60 | validity.start_date:0.60,absence start date:0.55 | absence.start_date:0.55 | address valid from:0.55,weak_canonical_candidate
SD,VBKD,VSART,Shipping Type,strong_canonical_candidate,,shipment.carrier,shipment.carrier:0.80,shipping method:1.00,strong_canonical_candidate
SD,VBKD,TRATY,Means-of-Transport Type,knowledge_only,,,,vehicle type:0.55,knowledge_only
